Content_ID,Content_Type,Title,Hindi_Title,Theatrical_Release_Year,Hoichoi_Live_Date,Hoichoi_Ending_Date,Season_Number,Total_Episodes,Duration_Total_or_Per_Ep,Genre,Sub_Genre,Age_Rating,Age_Rating_Descriptors,Available_on_hoichoi,Link,Cast,Director,Writer,Production_House,Synopsis_Long,Synopsis_Short,Trailer_Link,Languages,Brand_Name,Literature_Adapted,Primary_Mood,Narrative_Tone,Ending_Type,Binge_Score,Family_Element_Score,AI_Generated_Keywords,Monetization_Model,Release_Type,Is_Bangladeshi,Recommended_Titles,Promotional_Rights
HOI576,Movie,Challenge,N/A,2009,2017-05-22,Perpetual,N/A,N/A,151 min,Action,Action,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Dev, Subhashree Ganguly, Rajatava Dutta",Raj Chakraborty,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Directed by Raj Chakraborty, Challenge tells the story of Abir (Dev), who joins college and wins the heart of Pooja (Subhashree Ganguly), daughter of a powerful don. As he faces threats and challenges, Abir must prove his love and bravery in this high-stakes romantic drama.","College fresher Abir falls for Pooja, daughter of a protective don. He must prove himself in a test of love and courage.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI577,Movie,Fight 1:1,N/A,2011,2017-05-22,Perpetual,N/A,N/A,154 min,Action,Action,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Satabdi Roy, Tapas Paul, Paran Bandyopadhyay",Debaditya,N/A,N/A,"The story unfolds around two rival gangs locked in constant conflict. As clashes intensify and tempers flare, the feud spirals beyond control. With loyalties tested and emotions high, the stage is set for a dramatic showdown. But who will emerge victorious—and at what cost?","Two rival gangs are always at odds. As tension rises, what will be the final outcome of their ongoing feud?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI578,Movie,Kellafate,N/A,2010,2017-05-22,Perpetual,N/A,N/A,154 min,Drama,Drama,U/A 13+,"Violence, Foul Language",Yes,N/A,"Ankush, Rupashree, Rajatava Dutta",Sujit Guha,N/A,N/A,"Shibu’s life changes when he meets Pallabi and falls in love with her. But soon, he discovers she’s dealing with serious problems. Determined to help, Shibu steps in to support her. As their bond grows, he must find the courage and wisdom to solve her troubles and win her love.",Shibu falls for Pallabi and learns about her troubles. Can he help her and win her heart in the process?,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI579,Movie,Poran Jaye Jolia Re,N/A,2009,2017-05-22,Perpetual,N/A,N/A,140 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Dev, Subhashree Ganguly, Biswajit Chakraborty",Rabi Kinagi,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Raj (Dev), a proud Bengali man, falls for Anna (Subhashree), an NRI pressured into an arranged marriage. When she plots to dissolve it by escaping to London, Raj follows her abroad. Amid chaos and cultural clashes, he challenges her illusions and fights for true love in this high-energy remake.","Dev‑played Raj woos NRI Anna (Subhashree), facing her plans to break their India‑London marriage—sparks fly in love!",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI580,Movie,Protidwandi (2010),N/A,2010,2017-05-22,Perpetual,N/A,N/A,153 min,Action,Action,U/A 13+,Violence,Yes,N/A,"Rahul Banerjee, Biswajit Chakraborty, Ranjit Mallick",Anup Sengupta,N/A,N/A,"Protidwandi follows Debu, a naïve village boy who dreams of stardom and rises to fame as an actor. But as success brings power, it also awakens darkness. Will Debu hold on to his innocence—or be consumed by the very world he longed to enter?","A village dreamer becomes a star, but fame comes at a price. Can Debu escape the shadows chasing his spotlight?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI581,Movie,Sangee,N/A,2003,2017-05-22,Perpetual,N/A,N/A,155 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Jeet, Ranjit Mallick, Rajesh Sharma",Haranath Chakraborty,N/A,N/A,"Bijay falls in love with Rupa, only to discover she's the sister of his best friend, Rana. Torn between love and friendship, he chooses to sacrifice his feelings. But as emotions run deep and truths unfold, Bijay must decide if following his heart is worth risking a cherished bond.",Bijay sacrifices his love when he finds out Rupa is his best friend Rana's sister. Will Bijay be able to pursue her?,,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI582,Movie,Sei To Abar Kache Ele,N/A,1999,2017-05-22,2031-02-07,N/A,N/A,148 min,Romance,Romance,U/A 13+,Violence,Yes,N/A,"Prosenjit Chatterjee, Arjun Chakraborty, Soumitra Chatterjee",Jayanta Bhattacharya,N/A,N/A,"Animesh, settled abroad, shares a deep bond with Ishita. But when unforeseen troubles shake their world, doubts and distance creep in. Caught between love and chaos, the couple must fight emotional battles and outside forces to see if their love can truly stand the test of time.","Animesh was settled abroad and deeply in love with Ishita. Amidst turmoil, will their love emerge victorious at the end?",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI583,Movie,Shudhu Tomari Jonyo,N/A,2015,2017-05-22,Perpetual,N/A,N/A,149 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Dev, Srabanti, Mimi Chakraborty, Soham",Bisra Dasgupta,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","This heartfelt love story follows a couple who marry without romance but slowly grow to love each other. As they confront memories of their past and personal struggles, their bond deepens. Together, they learn that true love can blossom even after marriage, leaving a lasting impact.",A love story that creates a lasting impact. A couple find love after marriage and reconcile with their respective pasts.,,Bengali,N/A,No,Drama,Neutral,Tragic,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI584,Movie,Tara,N/A,2010,2017-05-22,Perpetual,N/A,N/A,137 min,Drama,Drama,U/A 13+,Violence,Yes,N/A,"Prosejit Chatterjee, Paoli Dam, Tota Roy Chowdhury",Bratya Basu,N/A,N/A,"When Professor Manoj is falsely accused and tortured by the police, his world collapses. His daughter, refusing to stay silent, takes a bold stand for justice. As society and authorities try to silence her, she fights back—risking everything to expose the truth and restore her father's honour.","After her father is framed and tortured, a brave daughter stands up for justice despite threats and pressure.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI585,Movie,Aat Paake Badha,N/A,2011,2017-05-21,2032-11-13,N/A,N/A,130 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Vishal, Ruhi, Arpita Baker","Ruby Gupta, Kunal Choudhury",N/A,N/A,"Indra, the most sorted and composed member of his team, crosses paths with Priya, who is admired for her grace and charm. As their paths intertwine through shared moments and gentle understanding, a tender love blossoms—making this film a delightful tale of romance.","Indra, the calm one, and Priya, full of grace, find love in this sweet and heartwarming story of connection and care.",,Bengali,N/A,No,Romantic,Sentimental,Tragic,7,7,"romance, nan",FVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI586,Movie,Amar Bodyguard,N/A,2012,2017-05-20,Perpetual,N/A,N/A,133 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Ridhima Ghosh, Pratik, Tapas Paul",Haranath Chakraborty,N/A,N/A,"Anol falls deeply in love with Ankhi, but she doesn’t feel the same way. As he tries to win her heart, he faces rejection, self-doubt, and emotional struggle. Will Anol’s sincerity and patience make a difference, or will Ankhi’s feelings remain unchanged forever?","Anol is in love with Ankhi, but she does not reciprocate his feelings. Will he be able to change Ankhi's mindset?",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI587,Movie,Ami Achi Sei Je Tomar,N/A,2011,2017-05-20,Perpetual,N/A,N/A,128 min,Romance,Romance,U,Suitable for all ages,Yes,N/A,"Angshuman, Anu Chowdhury, Dulal Lahiri",Amit Dasgupta,N/A,N/A,"When Bhaskar dies in a tragic accident, his lover Priya is left heartbroken and mentally unstable. Years pass, and a man named Angshuman arrives in her village, looking just like Bhaskar. As past emotions resurface, questions arise—who is Angshuman, and why is he here?","After Bhaskar’s death, Priya loses her sanity. Years later, Angshuman arrives. Is he just a stranger—or something more?",,Bengali,N/A,No,Romantic,Sentimental,Tragic,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI588,Movie,Arshinagar,N/A,2015,2017-05-20,Perpetual,N/A,N/A,151 min,Romance,Romance,U/A 16+,"Violence, Sexual Content, Foul Language, Substance Use",Yes,N/A,"Dev, Rittika Sen, Jisshu Sengupta",Aparna Sen,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","An adaptation of Shakespeare's Romeo and Juliet, the film revolves around Ranajit and Julekha belong to rival families where the enmity between them goes way back. However, when they meet, there is an unbeatable connection that eventually turns to love.","Born to rival families, Ranajit and Julekha fall into forbidden love—but can passion survive deep-rooted hatred?",,Bengali,N/A,Yes,Classic,Reflective,Happy,7,7,"romance, nan",SVOD,Library,No,"Bhalobasar Anek Naam, Love (2008)",N/A
HOI589,Movie,Bangali Babu English Mem,N/A,2014,2017-05-20,Perpetual,N/A,N/A,145 min,Comedy,Comedy,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Soham Chakraborty, Mimi Chakraborty",Rabi Kinagi,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","This entertaining rom-com follows Madhusudan, a straightforward Bengali man with an unusual dream—he wants to marry a wealthy Canadian woman. What follows is a hilarious journey of misadventures, culture clashes, and heartwarming twists as he chases love and ambition in equal measure.","Madhusudan, a simple Bengali man, dreams of marrying a rich Canadian woman in this fun and charming romantic comedy.",,Bengali,N/A,No,Lighthearted,Funny,Happy,7,8,"nan, comedy",SVOD,Library,No,"Abar Bibaho Obhijaan, Hoichoi Unlimited, Ajob Prem Ebong, Bibaho Diaries, Galpa Holeo Satyi (2066)",N/A
HOI590,Movie,Bedeneer Prem,N/A,1992,2017-05-20,2031-02-07,N/A,N/A,152 min,Romance,Romance,U,Suitable for all ages,Yes,N/A,"Anju Ghosh, Chiranjeet, Lily Chakraborty",Swapan Saha,N/A,N/A,"Bedenir Prem tells the heartfelt story of a Bedeni girl, Josna (Anju Ghosh), who falls in love with Shiba (Chiranjeet), a boy adopted by snake-charmers. As their bond deepens, Shiba discovers his true family, forcing them to choose between love and identity in this drama of belonging and heart.","A 90s Bengali romance where a bedeni girl falls for a snake-charmer’s adopted son, seeking love and belonging.",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,8,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI591,Movie,Beder Meye Josna,N/A,1991,2017-05-20,2027-05-31,N/A,N/A,173 min,Drama,Drama,U/A 13+,Violence,Yes,N/A,"Chiranjeet, Anju Ghosh, Subhendu Chatterjee",Motiur Rahman Panu,N/A,N/A,"In Beder Meye Josna, snake-catcher Josna saves Prince Anwar from a venomous snake. Grateful, the prince offers her any wish—she asks for his hand in marriage. As royalty resists, true love must challenge tradition and power.",A gypsy girl saves a prince and must fight for his love against royal opposition in this timeless folktale.,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI592,Movie,Biyallish,N/A,1951,2017-05-20,2031-02-07,N/A,N/A,151 min,Historic,Historic,U,Suitable for all ages,Yes,N/A,"Pradip Kumar, Manju Dey, Bikash Roy",Hemen Gupta,N/A,N/A,"One of Hemen Gupta’s finest films, it unfolds against the backdrop of 1942’s political turmoil in Midnapore. As India’s freedom movement gains momentum, the story captures the fiery spirit of rebellion, the sacrifices made, and the emotional toll of resisting colonial oppression.","Set in 1942, Midnapore, this Hemen Gupta classic captures political unrest during India’s freedom movement.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"historic, nan",SVOD,Library,No,Chattogram Astragar Lunthan,N/A
HOI593,Movie,Char Adhyay,N/A,2016,2017-05-20,Perpetual,N/A,N/A,131 min,Drama,Drama,U/A 13+,Foul Language,Yes,N/A,"Mallika Majumdar, Debdut Ghosh, Tarun Chakraborty",Nitish Mukherjee,N/A,N/A,"Based on Tagore’s work, this film explores how love and idealism collide during British rule. As revolution brews, characters must choose between emotion and duty. It highlights the cost of resistance, and how even the noblest ideals can lead to heartbreak in the fight for freedom.","A Tagore tale where love blossoms amid rebellion, questioning idealism during British rule.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI594,Movie,Churiwala,N/A,2001,2017-05-20,2027-05-31,N/A,N/A,155 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Firdous Ahmed, Shambhu Bhattacharya, Soumitra Chatterjee",Shaha Alam Kiran,N/A,N/A,"Churiwala tells the story of Sooraj and Rupa, two lovers from different worlds, whose bond is tested by rigid societal norms and family opposition. As they fight to stay together, love clashes with tradition in this heartfelt tale of sacrifice, resilience, and hope.","Churiwala is a classic tale of two lovers, Sooraj and Rupa, and their struggle to fight societal and family issues.",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,8,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI595,Movie,Saptami,N/A,1997,2017-05-20,Perpetual,N/A,N/A,148 min,Romance,Romance,U,Suitable for all ages,Yes,N/A,"Prosenjit Chatterjee, Soumitra Chatterjee, Abhishek Chatterjee",Pallab Ghosh,N/A,N/A,"Soumo marries Saptami but leaves her with a close friend to pursue higher studies. Years later, when he returns, he is shaken by a truth he never expected. What happened in his absence, and can their relationship survive the storm that follows? A gripping tale of trust, betrayal, and consequences.",Soumo marries Saptami and leaves her in the care of his friend to study more. He returns to get the shock of his life.,,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI596,Movie,Anu,N/A,1998,2017-05-20,2031-02-07,N/A,N/A,120 min,Social,Social,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Indrani Halder, Nirmalya Bandyopadhyay, Debesh Roychowdhury",Satarupa Sanyal,N/A,N/A,"Anu, a spirited young woman, falls in love with Sugata, a passionate political activist. As their bond deepens, the turbulence of political unrest and personal dilemmas put their love to the test. Will their relationship survive the storm, or will destiny chart a different path for them?","Anu falls for Sugata, a political activist. As fate plays with their love for each other, what is in store for them?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, social",SVOD,Library,No,"Crisscross, Dharma Yudha, English Vs English, Mahaprithibi, Samadhan",N/A
HOI597,Movie,Awara,N/A,2012,2017-05-20,Perpetual,N/A,N/A,144 min,Action,Action,U/A 13+,"Violence, Foul Language",Yes,N/A,"Jeet, Sayantika, Kharaj Mukherjee",Rabi Kinagi,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Awara follows Surya Narayan, who leaves his IT job to help a friend and moves to Cooch Behar. He falls for Poulomi at a fair, only to clash with local thug Shanatan Panja. When trouble follows her to Kolkata, Surya must fight a powerful gangster to protect love and family.","Surya quits his job, falls for Poulomi, and battles goons to win her heart in this action-packed love story.",,Bengali,N/A,No,Drama,Neutral,Open,5,8,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI598,Movie,Behula Lakhindar,N/A,1991,2017-05-20,2030-08-09,N/A,N/A,141 min,Mythology,Mythology,U,Suitable for all ages,Yes,N/A,"Abhi Bhattacharya, Tarun Kumar, Mahua Roychoudhury",Amal Dutta,N/A,N/A,"This mythological tale follows Goddess Manasa’s longing to be worshipped like other deities. But when her wish is denied, her wrath strikes Lakhindar, son of Chand Sadagar. His new bride, Behula, embarks on a heart-wrenching journey of faith and resilience, seeking to defy fate and restore love.","Goddess Manasa’s quest for devotion leads to a divine test, costing Behula and Lakhindar their lives and love.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"mythology, nan",SVOD,Library,No,Sita,N/A
HOI599,Movie,Bhanu Pelo Lottery,N/A,1958,2017-05-20,2031-02-07,N/A,N/A,103 min,Comedy,Comedy,U,Suitable for all ages,Yes,N/A,"Bhanu Bandyopadhyay, Jahar Roy, Lily Chakrabarty",Tushar Kanti Ghosh,N/A,N/A,"In this Bengali classic, Bhanu Bandyopadhyay plays an artisan whose simple life takes a hilarious turn after he unexpectedly wins a lottery. As fortune knocks on his door, chaos, comedy, and confusion follow, testing friendships and values in this heartwarming tale of sudden riches.","A classic starring Bhanu Bandyopadhyay, telling a story of an artisan, whose life changes after winning a lottery.",,Bengali,N/A,No,Lighthearted,Funny,Happy,7,8,"nan, comedy",SVOD,Library,No,"Abar Bibaho Obhijaan, Hoichoi Unlimited, Ajob Prem Ebong, Bibaho Diaries, Galpa Holeo Satyi (2066)",N/A
HOI600,Movie,Challenge 2,N/A,2010,2017-05-20,Perpetual,N/A,N/A,162 min,Action,Action,U/A 13+,"Violence, Foul Language",Yes,N/A,"Dev, Pooja Bose, Tapas Paul",Raja Chanda,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Challenge 2 is about Abhiraj Roy (Dev), a brave cop who wants to stop a dangerous don. To do so, he goes undercover and even becomes an MLA like his father. Packed with action, emotion, and drama, the film shows how far a son will go to fulfill his father’s dream.","Undercover cop Abhiraj Roy (Dev) juggles crime-fighting and politics in Challenge 2, blending action and emotion.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI601,Movie,Go For Goals,N/A,2009,2017-05-20,2031-02-07,N/A,N/A,102 min,Sports,Sports,U,Suitable for all ages,Yes,N/A,"Kaushik Chakraborty, Kabir Suman, Goutam Sarkar","Ujjal Mitra, Suman Bhattacharya",N/A,N/A,"Go For Goals is a heartwarming sports drama that celebrates Bengal’s passion for football. Five inseparable friends whose lives revolve around the game. As they chase dreams and tackle personal struggles, football becomes their escape, their bond, and their ultimate test of loyalty.","The film follows five friends on their journey through life, celebrating Bengalis' passionate love for football.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"sports, nan",SVOD,Library,No,Cholo Paltai,N/A
HOI602,Movie,Golemale Pirit Koro Na,N/A,2013,2017-05-20,Perpetual,N/A,N/A,125 min,Comedy,Comedy,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Jisshu Sengupta, Paayel Sarkar, Ritwick Chakraborty",Anindya Banerjee,N/A,N/A,"In this hilarious tale of love and confusion, two best friends unknowingly fall for each other’s sisters. A series of mistaken identities, miscommunications, and family chaos follow—creating a rollercoaster of laughter and romance. Will love find a way amidst all the comic mayhem?","Two men fall in love with each other's sisters, leading to mistaken identities that give this film the comical edge.",,Bengali,N/A,No,Feel-good,Funny,Happy,7,8,"nan, comedy",SVOD,Library,No,"Bibaho Obhijaan, Aami Aar Amar Girlfriends, Bye Bye Bangkok, Half Serious, Mahapurush O Kapurush",N/A
HOI603,Movie,I Love You,N/A,2006,2017-05-20,Perpetual,N/A,N/A,184 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Dev, Paayel Sarkar, Tapas Paul",Rabi Kinagi,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Rahul, a modern guy from the city, crosses paths with Pooja, a traditional girl rooted in simplicity. Despite their contrasting worlds, love blossoms between them. As their bond grows, they break social stereotypes and prove that love knows no boundaries. A sweet story of opposites attracting.","Rahul, a city boy, falls for Pooja, a simple girl. Their love breaks all stereotypes and brings two worlds together.",,Bengali,N/A,No,Romantic,Sentimental,Tragic,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI604,Movie,Kelor Kirti,N/A,2016,2017-05-20,Perpetual,N/A,N/A,154 min,Comedy,Comedy,U,Suitable for all ages,Yes,N/A,"Dev, Ankush, Jisshu Sengupta, Mimi Chakraborty, Nusrat Jahan, Sayantika, Koushani",Raja Chanda,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","In Kelor Kirti, three blissful couples—Guru (Dev) & Priya (Sayantika Banerjee), Joy (Jisshu Sengupta) & Rima (Mimi Chakraborty), and Apurba (Ankush) & Anushka (Koushani) — enjoy life until a mysterious woman, Urvashi (Nusrat Jahan), arrives. Amidst comedy and misunderstandings, secrets surface!","Three men, three women, and a mess of lies! A comedy of confusion unfolds when love and secrets spiral out of control.",,Bengali,N/A,No,Lighthearted,Funny,Happy,7,8,"nan, comedy",SVOD,Library,No,"Abar Bibaho Obhijaan, Hoichoi Unlimited, Ajob Prem Ebong, Bibaho Diaries, Galpa Holeo Satyi (2066)",N/A
HOI605,Movie,Manush Manusher Janya,N/A,1998,2017-05-20,2031-02-07,N/A,N/A,132 min,Drama,Drama,U,Suitable for all ages,Yes,N/A,"Abhishek Chatterjee, Sumitra Mukherjee, Santu Mukherjee",Niranjan Dey,N/A,N/A,"Set against a backdrop of inequality, the film portrays the lives of people from varied social and economic backgrounds. As their paths intersect, it sheds light on the hardships they face, the resilience they show, and the hopes they cling to in a society marked by deep divides.","The film explores the struggles of people from different walks of life, facing social and economic challenges.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",FVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI606,Movie,Mayar Badhon,N/A,1997,2017-05-20,Perpetual,N/A,N/A,156 min,Drama,Drama,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Prosenjit Chatterjee, Rituparna Sengupta, Satabdi Roy",Swapan Saha,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Sagar (Prosenjit Chatterjee) and Shipra (Rituparna Sengupta) lose their baby in a hospital fire. Years later, love and tragedy reveal the truth about Maya (Srabanti Chatterjee) and Trishna in a moving family drama.","Two newborns are swapped after a hospital fire. Years later, secrets unfold in this emotional tale of love and identity.",,Bengali,N/A,No,Drama,Neutral,Open,5,8,"nan, drama",SVOD,Library,No,"Saba, Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan",N/A
HOI607,Movie,Mon Chaye Tomay,N/A,2010,2017-05-20,Perpetual,N/A,N/A,135 min,Romance,Romance,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Soumitra Chatterjee, Debika Mukherjee, Pamela",Prabir Kar,N/A,N/A,"A young couple deeply in love dreams of a future together, but their families strongly oppose the match. Faced with resistance, they must navigate emotional hurdles, generational conflicts, and personal sacrifices to prove their love. Will they manage to win over their families and unite?","A couple wants to settle down, but their families are against their relationship. How will they convince them?",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romance, nan",SVOD,Library,No,"Silpi (2056), Nidhi Ram Sardar, Korapaak, Rang Milanti, Swapnajaal",N/A
HOI608,Movie,Mrinaler Chithi,N/A,2012,2017-05-20,2033-04-13,N/A,N/A,117 min,Drama,Drama,U,Suitable for all ages,Yes,N/A,"Juin Sarkar, Sudip Chakraborty, Tapati Bhattacharya",Soumya Sarkar,N/A,N/A,"A young bride pens heartfelt letters from her in-laws’ home, capturing her joys, struggles, and inner world. As she grows into her new life, her reflections reveal quiet strength and deep emotion. The film is based on a story by Rabindranath Tagore.","Based on Tagore’s story, the film revolves around a bride who writes letters about her experience at her in-laws’ house.",,Bengali,N/A,Yes,Classic,Reflective,Open,5,5,"nan, drama",FVOD,Library,No,"Putulnacher Itikatha, Kabuliwala, Kabuliwala, Sahaj Paather Gappo, Brahma Janen Gopon Kommoti",N/A
HOI609,Movie,Power,N/A,2016,2017-05-20,Perpetual,N/A,N/A,157 min,Action,Action,U/A 13+,Violence,Yes,N/A,"Jeet, Nusrat Jahan, Sayantika Banerjee",Rajib Kumar Biswas,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Jeetu dreams of becoming a cop but hasn’t cleared the exams. One day, he finds a police uniform and starts pretending to be an officer. As his lies spiral out of control, Jeetu must outsmart danger and decide—will he fake it till he makes it, or crash and burn?","Jeetu, an aspiring cop goes around posing as an officer with a stolen uniform. But what has fate in store for him?",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI610,Movie,Ranakshetra,N/A,1998,2017-05-20,Perpetual,N/A,N/A,147 min,Action,Action,U/A 7+,Appropriate for age 7 and above,Yes,N/A,"Prosenjit Chatterjee, Satabdi Roy, Soumitra Chatterjee",Swapan Saha,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","The son of a corrupt minister runs a dangerous drug racket. When a brave student protests, he is brutally murdered. His brother, Raja, refuses to stay silent. Fueled by grief and rage, Raja takes on the powerful nexus to avenge his brother’s death and expose the truth.","When a student is killed for protesting against a drug ring, his brother Raja sets out to seek justice.",,Bengali,N/A,No,Drama,Neutral,Tragic,5,5,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
HOI611,Movie,Refugee (2006),N/A,2006,2017-05-20,Perpetual,N/A,N/A,153 min,Action,Action,U/A 13+,"Violence, Foul Language",Yes,N/A,"Prosenjit Chatterjee, Rambha, Rajesh Sharma",Haranath Chakraborty,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd.","Shiva, separated from his family and homeland, rises as a fearless protector of the helpless. As he stands against injustice and tyranny, memories of his lost past haunt him. Will his fight for the oppressed also lead him back to the country and family he longs to reunite with?",Shiva finds himself as the saviour of the oppressed. Will he ever be able to reunite with his country and family?,,Bengali,N/A,No,Drama,Neutral,Open,5,8,"action, nan",SVOD,Library,No,"Kabir, Boss, Sesh Kartabya, ACP Ranveer, Gangstar King",N/A
